City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current description,Rain (last 3 hrs),Snow (last 3 hrs),Date
198,Chuy,-33.7,-53.46,62.82,86,97,4.7,UY,overcast clouds,0.0,0.0,2020-05-30 21:19:47
199,Chuy,-33.7,-53.46,62.82,86,97,4.7,UY,,,,2020-05-30 21:19:47
200,Sao Filipe,14.9,-24.5,76.5,64,0,9.08,CV,clear sky,0.0,0.0,2020-05-30 21:20:24
201,Sao Filipe,14.9,-24.5,76.5,64,0,9.08,CV,,,,2020-05-30 21:20:24
202,Baruun-Urt,46.68,113.28,43.99,62,94,6.76,MN,overcast clouds,0.0,0.0,2020-05-30 21:19:50
203,Baruun-Urt,46.68,113.28,43.99,62,94,6.76,MN,,,,2020-05-30 21:19:50
204,Kota Belud,6.35,116.43,78.01,94,20,4.7,MY,few clouds,0.0,0.0,2020-05-30 21:27:59
205,Kota Belud,6.35,116.43,78.01,94,20,4.7,MY,,,,2020-05-30 21:27:59
206,Lata,40.16,-8.33,66.0,88,92,7.0,PT,overcast clouds,0.0,0.0,2020-05-30 21:20:12
207,Lata,40.16,-8.33,66.0,88,92,7.0,PT,,,,2020-05-30 21:20:12
208,Staritsa,56.51,34.94,58.01,70,100,17.29,RU,overcast clouds,0.0,0.0,2020-05-30 21:28:00
209,Staritsa,56.51,34.94,58.01,70,100,17.29,RU,,,,2020-05-30 21:28:00
210,Taywarah,33.35,64.42,53.33,42,0,4.61,AF,clear sky,0.0,0.0,2020-05-30 21:28:00
211,Taywarah,33.35,64.42,53.33,42,0,4.61,AF,,,,2020-05-30 21:28:00
212,Aksu,41.12,80.26,69.33,38,100,9.35,CN,overcast clouds,0.0,0.0,2020-05-30 21:23:49
213,Aksu,41.12,80.26,69.33,38,100,9.35,CN,,,,2020-05-30 21:23:49
214,Nioki,-2.72,17.68,74.23,94,100,2.89,CD,overcast clouds,0.0,0.0,2020-05-30 21:28:00
215,Nioki,-2.72,17.68,74.23,94,100,2.89,CD,,,,2020-05-30 21:28:00
216,Vredendal,-31.67,18.5,65.23,26,0,8.16,ZA,clear sky,0.0,0.0,2020-05-30 21:28:00
217,Vredendal,-31.67,18.5,65.23,26,0,8.16,ZA,,,,2020-05-30 21:28:00
218,Mecca,21.43,39.83,83.55,42,0,6.08,SA,clear sky,0.0,0.0,2020-05-30 21:23:12
219,Mecca,21.43,39.83,83.55,42,0,6.08,SA,,,,2020-05-30 21:23:12
220,San Jeronimo,-11.95,-75.28,61.43,29,1,4.88,PE,clear sky,0.0,0.0,2020-05-30 21:28:00
221,San Jeronimo,-11.95,-75.28,61.43,29,1,4.88,PE,,,,2020-05-30 21:28:00
222,Daru,-9.08,143.21,79.23,87,53,14.16,PG,light rain,0.0,0.0,2020-05-30 21:20:25
223,Daru,-9.08,143.21,79.23,87,53,14.16,PG,,,,2020-05-30 21:20:25
224,Cannes,43.55,7.02,62.6,87,94,1.12,FR,overcast clouds,0.0,0.0,2020-05-30 21:28:00
225,Cannes,43.55,7.02,62.6,87,94,1.12,FR,,,,2020-05-30 21:28:00
226,Yangshe,31.89,120.61,66.0,99,5,3.4,CN,clear sky,0.0,0.0,2020-05-30 21:28:00
227,Yangshe,31.89,120.61,66.0,99,5,3.4,CN,,,,2020-05-30 21:28:00
