City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
275,Hohhot,CN,2020-05-27 20:19:08,40.81,111.65,51.8,71,2,4.47
276,Channelview,US,2020-05-27 20:19:08,29.78,-95.11,90.0,48,40,4.79
277,Mar Del Plata,AR,2020-05-27 20:19:08,-38.0,-57.56,64.99,63,0,10.29
278,Quelimane,MZ,2020-05-27 20:19:08,-17.88,36.89,78.8,83,1,5.82
279,Saint George,US,2020-05-27 20:15:21,37.1,-113.58,99.0,11,1,4.7
280,Phangnga,TH,2020-05-27 20:19:09,8.45,98.53,80.6,88,20,2.24
281,Raton,US,2020-05-27 20:19:09,36.9,-104.44,78.8,16,75,4.7
282,Rudraprayag,IN,2020-05-27 20:19:09,30.28,78.98,72.52,27,88,4.45
283,Golfito,CR,2020-05-27 20:19:09,8.64,-83.17,82.94,81,100,3.31
284,Oranjemund,NA,2020-05-27 20:19:09,-28.55,16.43,55.2,74,0,13.53
285,Dicabisagan,PH,2020-05-27 20:19:09,17.08,122.42,80.13,84,51,6.76
286,Krasnoselkup,RU,2020-05-27 20:19:10,65.7,82.47,39.74,69,0,7.65
287,Hasaki,JP,2020-05-27 20:16:33,35.73,140.83,62.6,82,75,5.82
288,Mnogovershinnyy,RU,2020-05-27 20:19:10,53.94,139.92,37.27,93,100,3.58
289,Arraial Do Cabo,BR,2020-05-27 20:19:10,-22.97,-42.03,71.6,64,20,20.8
290,Marienburg,PL,2020-05-27 20:19:10,54.04,19.03,55.99,73,100,3.74
291,Shimoda,JP,2020-05-27 20:19:10,34.67,138.95,61.0,66,98,10.4
292,Marfino,RU,2020-05-27 20:19:11,55.7,37.38,59.0,66,80,2.24
293,Shakawe,BW,2020-05-27 20:19:11,-18.37,21.85,55.72,38,0,4.59
294,Kolvereid,NO,2020-05-27 20:19:11,64.87,11.6,46.4,87,75,4.7
295,Doha,QA,2020-05-27 20:19:11,25.29,51.53,87.01,74,0,5.82
296,Touros,BR,2020-05-27 20:19:11,-5.2,-35.46,84.2,74,20,11.41
297,Paamiut,GL,2020-05-27 20:19:11,61.99,-49.67,36.21,88,68,15.46
298,Bella Vista,US,2020-05-27 20:19:11,36.43,-94.23,64.4,93,90,6.93
299,Havelock,US,2020-05-27 20:19:12,34.88,-76.9,81.0,78,88,5.01
300,Dinguiraye,GN,2020-05-27 20:19:12,11.3,-10.72,75.97,74,100,6.22
301,Rio Gallegos,AR,2020-05-27 20:14:21,-51.62,-69.22,44.6,65,0,6.93
302,Matara,LK,2020-05-27 20:19:12,5.95,80.54,79.41,89,97,10.8
